tx_title,phrase_id,v,sentence,translation
Hombre perezoso,T30_P7,tok,"xtok anm,+",Buscó mujer.
Hombre perezoso,T30_P11,taw,"Titaw, titaw, titaw li, li, li chaak+",Llega llega llega en en en el trabajo.
Hombre perezoso,T30_P11,taw,"Titaw, titaw, titaw li, li, li chaak+",Llega llega llega en en en el trabajo.
Hombre perezoso,T30_P11,taw,"Titaw, titaw, titaw li, li, li chaak+",Llega llega llega en en en el trabajo.
Hombre perezoso,T30_P13,b'en,"kita', kita' chaak b'enol jwi'l.+",No no a hecho su trabajo.
Hombre perezoso,T30_P16,taw,jinon jun q'iij xaq titaw ra ralmwer.+,Asi es un dia solo llega su almuerzo.
Hombre perezoso,T30_P17,b'en,"I kita' chaak b'enol jwi'l,+",Y no ha trabajado nada.
Hombre perezoso,T30_P24,ch'ab'e,Xch'ab'ej man k'uch.+,Le hablo el zope.
Hombre perezoso,T30_P30,ij,Tos xij re.+,Entonces le dijo:
Hombre perezoso,T30_P33,waj,porke iin ta' chuwaj inchakun.+,Porque yo no quiero trabajar.
Hombre perezoso,T30_P48,k'ex,"Xk'ex rib'aq,+","Se cambiaron, o se intercamviaron."
Hombre perezoso,T30_P49,k'ex,ya xk'exmaaj rib'aq.+,Y ya estando intercamviado.
Hombre perezoso,T30_P50,en,"I ruk'u man k'uch xen, xen wunaq.+",Y entonces el zope se comvirtió en hombre.
Hombre perezoso,T30_P50,en,"I ruk'u man k'uch xen, xen wunaq.+",Y entonces el zope se comvirtió en hombre.
Hombre perezoso,T30_P51,en,I ri man wunaq xen k'uch.+,Y él hombre se bolbio zope.
Hombre perezoso,T30_P54,tij,"i neen k'u tatij aat,+",Y que es loque comés vos.
Hombre perezoso,T30_P60,tij,iin k'um tintok laq ab'iix.+,Yo ayote busco entre las milpas.
Hombre perezoso,T30_P69,taw,A' kwand xtaw anm chye'ik ralmwers.+,A cuando llego la mujer a dejar almuerzo.
Hombre perezoso,T30_P69,ye',A' kwand xtaw anm chye'ik ralmwers.+,A cuando llego la mujer a dejar almuerzo.
Hombre perezoso,T30_P77,tij,"Jaan xtij jwaa,+",Esta bien comio su tortilla.
Hombre perezoso,T30_P81,en,"Ay lojori xenaa k'is awij,+",Hay ahora si sudastes.
Hombre perezoso,T30_P83,k'is,"Ta' chiki' lojori xaq jo', jo' ya xatk'is achak jo',+","Ya no hay ahora, solo nos vamos vamos ya terminastes tu trabajo vamos."
Hombre perezoso,T30_P89,koj,xkoj jtuj.+,Puso temascal.
Hombre perezoso,T30_P91,koj,lojori mas xk'isk'ab' awij xkoj tuj.+,"Ahora te pusiste de mal olor, puso temascal."
Hombre perezoso,T30_P95,ch'aj,Xch'aj rij tano...+,Se lavo detras. (se bañó)
Hombre perezoso,T30_P100,maj,I maj chaak wunaq xtaw chik ralmwers.+,Y comenzo a trabajar el hombre y llego su almuerzo.
Hombre perezoso,T30_P101,ese,Ya esel chaq jk'am.+,Ya habia terminado su cuerda.
Hombre perezoso,T30_P108,ya',xya' jwaa.+,Le dio su comida.
Hombre perezoso,T30_P109,ya',"Tinik xya' re,+",Carne le dio.
Hombre perezoso,T30_P111,k'am,"Xpe, xpe sik' wunaq, xk'am, xk'am joq',+",Vino vino el pobre hombre fue a traer su taza..
Hombre perezoso,T30_P111,k'am,"Xpe, xpe sik' wunaq, xk'am, xk'am joq',+",Vino vino el pobre hombre fue a traer su taza..
Hombre perezoso,T30_P112,pis,"xpis raj tinik xkaj ye',+",Envolvio su carne y lo dejo.
Hombre perezoso,T30_P112,ye',"xpis raj tinik xkaj ye',+",Envolvio su carne y lo dejo.
Hombre perezoso,T30_P113,ye',xkaj ye'.+,Lo dejo.
Hombre perezoso,T30_P115,tij,"osti ajri' la jrox q'iij xtij,+",hasta al tercer dia lo comio.
Hombre perezoso,T30_P129,ij,I xij chwe qak'ex qib'.+,Y me dijo a mi que nos cambiaramos con él.
Hombre perezoso,T30_P137,waaj,I iin chwaaj inchakun+,Y yo quiero trabajar.
Hombre perezoso,T30_P147,k'u-,"Antons ri k'uli kond jun saq'or wunaq,+",Entonces eso es cuando un hombre es perezoso.
Hombre perezoso,T30_P168,en,Porke jinon li xen jun wunaq ójor.+,Porque asi hizo un hombre antes.
Hombre perezoso,T30_P169,en,"Xenaa k'uch jwi'l jsaq'oril,+",Se hizo zope por ser perezoso.
Hombre perezoso,T30_P170,koj,aataq maa koj taq saq'oril.+,Usdedes no sehan perezosos.
Hombre perezoso,T30_P171,tijoj,"No ke aatchaakun taq tijoj awi'b'aq,+",No que trabajen aprendan a trabajar.
Hombre perezoso,T30_P173,b'an,tijoj awi'b'aq tab'an achaakaq.+,Aprendan a trabajar.
Hombre perezoso,T30_P178,koj,Si oj li xoj kojon chuch qaqaj qachuch.+,Si nosotros respetamos o obedesemos los padres de nuestras madres y padres.
Hombre perezoso,T30_P181,sach,"tsachtqa'n,+",Se desaparecen.
Hombre perezoso,T30_P183,an,"I oj ya xani' qetmaaj qachaak,+",Y nosotros ya hemos aprendido a trabajar.
Hombre perezoso,T30_P189,b'en,"Ri jun, ri jun chaak tb'ensaj seb'laaj tzii,+",Eso es un trabajo que se hace que es muy bueno.
Hombre perezoso,T30_P198,tzuq,"Aat tzuq awi'b' rk'i ak'atanal,+",Ustedes alimentense con sus propios sudores.
Hombre perezoso,T30_P202,tzuq,"Re tzuqb'el qib',+",Para mantenernos.
Hombre perezoso,T30_P211,aj,"Kita' raj, kita' raj tren upiis,+",No quiere no quiere hacer oficios.
Hombre perezoso,T30_P213,ij,"Xij taq re oombre,+",Le dijeron a él hombre.
Hombre perezoso,T30_P216,b'an,"No in ta' tib'an,+",No yo no lo boy hacer.
Hombre perezoso,T30_P219,ij,xpee chusil xpe anm xij.+,Vino poco a poco vino la mujer dijo.
Hombre perezoso,T30_P221,ij,"lojori xij taq ójor taq qaqaaj qachuuch re,+",Ahora dijeron antes nuestros padre y nuestras madre a él.
Hombre perezoso,T30_P223,tzek,"lojori, lojori tab... juj b'aq'wich ixiim qe tatzek,+",ahora ahora doce granitos de maiz bas a coser.*
Hombre perezoso,T30_P228,tzek,Xpe anm xtzek uxub' jb'aq'wich ixiim.+,Vino la mujer puzo a cocer tres granitos de maiz.
Hombre perezoso,T30_P229,q'i,Baay kabal xpe ra raj b'o'j ta' xq'iw+,Baya cabal vino su olla no aguanto.
Hombre perezoso,T30_P230,raq,xraqin li q'aaq' chuch.+,Explotó en el fuego de lante o enfrente de ella.
Hombre perezoso,T30_P231,q'i',Ril chi kita' xq'i' raj jb'o'j+,Vio que no aguanto o soporto su olla.
Hombre perezoso,T30_P232,raqin,xraqin li q'aaq' chuch.+,Explotó en el fuego en frente de ella.
Hombre perezoso,T30_P236,pax,Kla' qe li xpaxin jwich sub'laaj b'uuq.+,De allí fue donde abundarón las ciguamontas.
Hombre perezoso,T30_P238,en,"I neen xen man saq'or anm,+",Y que hizo la mujer perezosa.
Hombre perezoso,T30_P243,koj,lajori nad makoj taq saq'oril+,Ahora no le hagan caso a la pereza.
Hombre perezoso,T30_P261,tal,Ke taljwi'laq loke xen taq ójor taq qawinaq.+,Que han oido o escuchado loque hicieron antiguamente nuestra gente.
Hombre perezoso,T30_P261,en,Ke taljwi'laq loke xen taq ójor taq qawinaq.+,Que han oido o escuchado loque hicieron antiguamente nuestra gente.
Hombre perezoso,T30_P263,ij,trna'tqa awaj ri' k'u li xij taq.+,Se vuelven animale eso fue lo que dijerón.
Hombre perezoso,T30_P282,el,ta' kita' t'el laq eskwel.+,No tienes que ir la escuala.
Hombre perezoso,T30_P283,t'ok,"Xaq wunaq si ta' qelen t'ok re,+",Solo al hombre si no le pasa nada a él.
Hombre perezoso,T30_P293,tijoj,"wi', wi', wi', wi', wi', wi' lwar tijoj rib'.+",Hay hay hay hay hay hay lugar para que aprendan.
Nabita,T35_P3,b'an,xen jun ra jkoorl chuch jaa+,Hizo un su corralito en frente de la casa.
Nabita,T35_P4,tij,i kla' xitij tra...+,Y alli fuerón a comer sus:
Nabita,T35_P5,b'an,xen tra q'et'+.,Hizo unos surquitos.
Nabita,T35_P6,tik,"Xtik tra íchij napx oj cha' oj re,+","Sembró unas yerbitas, que le decimos apio."
Nabita,T35_P6,cha',"Xtik tra íchij napx oj cha' oj re,+","Sembró unas yerbitas, que le decimos apio."
Nabita,T35_P8,tik,Xtik tra' íchij li.+,Sembró esas yerbitas.
Nabita,T35_P13,-b'i,ee.. neb'i+,E como se dice. ?
Nabita,T35_P21,b'an,sik' wunaq chi jnaqaj richoch xen jkorl man anm li.+,Serca de la casa del pobre hombe hizo su corral esa mujer.
Nabita,T35_P29,jor,i jor tinrayaj maq íchij li.+,¡Y cómo deseo esas yerbas!.
Nabita,T35_P33,b'an,neen mod tanb'an tantz'onaj kib' wee ree man anm li+,Aber que modo voy hacer para pedir unos mis dos a esa mujer.
Nabita,T35_P40,yoq',chi yoq'on xk'ul sik' wunaq+,Con maltratadas recibió al pobre hombre.
Nabita,T35_P40,k'ul,chi yoq'on xk'ul sik' wunaq+,Con maltratadas recibió al pobre hombre.
Nabita,T35_P43,tik,"Aa, ta' k'u wunaq pwes ma tatik awe+",¿No eres hombre pués? porque no siembras para vos.
Nabita,T35_P50,tik,neen mod ta' tatik awee.+,Y porque no siembras para vos.
Nabita,T35_P52,ya',ri chawaj aat in inya'w awichaaj+,Lo que vos queres es que yo te de tus hierbas.
Nabita,T35_P56,b'an,tons loke xen sik' wunaq xij ree.+,Entonces lo que hizo el pobre hombre le dijo.
Nabita,T35_P58,b'an,"neen mod tanb'an ree,+",Que manera le voy hacer.
Nabita,T35_P62,tzak,"tatzek,+",Lo bas a cocer.
Nabita,T35_P71,chajá,xchejej man anm kita' la jkorl.+,Veló a esa mujer si no estava en su corral.
Nabita,T35_P75,tzak,xijye' ree sik' anm ree xtzek+,Le fue a dejar a la pobre mujer para cocerlo.
Nabita,T35_P77,taw,xtaw man étzel anm+,Llegó la mala mujer.
Nabita,T35_P78,tok,"xijrile' man richaj, ri' chaq tril tokol chaq tra íchaj,+",Lo fue a ver y cuando vió que ya estava cortada sus hierbas.
Nabita,T35_P80,tok,"Neen k'u tokow tra wichaj ri,+",¡Quien cortó mis hierbitas!
Nabita,T35_P83,tok,"neen titokow maq tra íchaj ri,+",Pero quien es quien corta mis hierbas.
Nabita,T35_P91,chaja,per inchajaj na.+,Pero lo boy a controlar.
Nabita,T35_P92,chaja,"Xchajaj man richaj nika' li,+",Entonces cuidó esa su yerba pues.
Nabita,T35_P93,b'an,entons sik wunaq xen seguir chaak+,Entonces el pobre hombre siguió el trabajando.
Nabita,T35_P93,seguir,entons sik wunaq xen seguir chaak+,Entonces el pobre hombre siguió el trabajando.
Nabita,T35_P94,ye',kom xya'+,Como dió.
Nabita,T35_P108,aber,a aber neen mod tanb'an.+,Aber de que modo lo haré.
Nabita,T35_P108,b'an,a aber neen mod tanb'an.+,Aber de que modo lo haré.
Nabita,T35_P114,b'an,"Usil jaan b'an,+",Poco a poco esta bien pués.
Nabita,T35_P124,b'en,"No, iin kita' neen b'enol inwi'l,+",No yo no he hecho nada.
Nabita,T35_P126,ta',"No, in ma reech ta' k'ay wichaj li,+",No mis hierbas no es para vender.
Nabita,T35_P130,ye',awnke pwaq nada ta' tanye'w.+,Aúnque es dinero pero no lo daré.
Nabita,T35_P139,chap,"a... xchep sik' wunaq,+",¡A! agarró al pobre hombre.
